"tvo","1. Кількість виборців","2. Взяли участь","3. Недійсних бюлетенів","Богословська","Бродський","Гриценко","Костенко","Литвин","Мороз","Пабат","Противсіх","Ратушняк","Рябоконь","Симоненко","Супрун","Тимошенко","Тігіпко","Тягнибок","Ющенко","Янукович","Яценюк","4. Не підтр. жодного"
"57",172604,120061,1244,741,25,274,26,496,74,46,76,35,21,3491,28,4578,8024,218,712,95171,2844,1937
"58",176136,120178,1249,2656,34,684,41,831,171,50,81,27,21,4779,32,5408,8870,269,915,87336,4137,2587
"59",178491,125814,1098,2982,32,950,54,1007,217,59,71,33,21,5718,28,6309,10620,355,1021,87839,4860,2540
"60",160956,117021,1308,676,49,552,24,764,112,52,99,18,20,6076,62,6934,7702,247,717,86223,3610,1775
"61",147356,110502,1439,1052,37,262,24,616,120,28,71,37,15,4461,43,5163,7911,169,741,83546,3326,1441
"62",134038,101655,692,482,47,193,26,664,113,24,72,43,13,5687,85,3129,5634,141,709,80418,2479,1004
"63",216926,142182,2474,372,55,2171,229,6211,600,262,173,62,39,4815,190,43436,26306,1962,3205,30767,14713,4139
"64",167228,117716,2049,323,117,1141,375,5087,670,338,288,119,45,4214,346,43056,14500,1211,2921,27993,10108,2815
"65",168879,113982,2027,485,181,672,390,8872,688,87,363,109,48,5505,456,28728,12577,646,3820,38819,7178,2331
"66",161844,110704,1804,214,109,792,361,14611,844,807,305,104,46,3532,324,32713,12811,781,3782,26805,8269,1690
"67",159286,105905,1667,280,84,658,221,7705,655,102,225,93,56,3908,397,37583,14597,947,3153,22457,9073,2044
"68",145392,100634,1962,205,82,777,227,5803,649,115,203,80,46,2519,303,40082,12413,1316,2491,20916,8455,1990
"69",157236,96665,2950,250,82,2270,303,2610,755,93,206,5187,47,1176,142,29179,14535,1276,3617,20653,8081,3253
"70",140122,75217,2362,388,107,859,160,1998,871,66,231,1051,37,1027,106,18592,9375,782,4052,21839,8786,2527
"71",142169,94149,2810,214,82,914,331,4154,2485,57,345,3262,60,1201,215,27884,7417,946,5323,25609,8851,1989
"72",169621,100716,3819,200,111,1051,230,4969,1533,74,404,1313,38,811,146,21848,9968,1094,6857,30773,13146,2331
"73",195453,94674,3178,133,84,539,300,2129,1157,66,293,1745,53,901,181,27851,7470,922,8032,30991,6871,1778
"74",147735,79315,3094,209,136,849,174,1767,1758,82,237,1571,49,750,145,16533,5322,507,4229,30472,9307,2123
"75",165103,112581,2330,720,48,1186,91,1291,172,121,87,50,31,5850,127,16265,25487,705,1320,47505,6512,2683
"76",164723,113493,1604,1226,70,1139,78,1227,153,184,106,54,22,5367,102,17374,25617,748,1263,47414,6846,2899
"77",172920,121442,1943,1010,50,1135,99,1389,143,322,117,55,29,6279,96,18192,28705,785,1382,49389,7159,3170
"78",123855,84815,1484,657,27,929,53,809,136,142,78,41,22,3833,59,11103,18696,463,854,38917,4484,2028
"79",166346,111011,1442,950,56,398,87,1635,494,235,112,42,26,5794,56,10781,17129,489,1031,62856,5562,1836
"80",180810,123864,2002,1231,49,698,130,1588,285,666,149,50,52,6226,152,13952,18439,541,1194,68700,5509,2251
"81",172473,112671,1123,701,44,791,93,1049,392,272,102,71,12,4670,33,7657,15594,334,1135,71983,4632,1983
"82",170304,116973,2317,1323,81,617,84,1736,278,624,115,69,37,6673,77,11505,13366,375,1372,69633,4957,1734
"83",162712,113650,1860,671,68,533,88,1969,398,1183,172,60,70,6229,95,17117,15659,430,1256,57244,6087,2460
"84",180825,121628,2104,123,37,2959,304,1003,214,73,216,70,21,1667,492,43917,9788,9094,20738,8674,16913,3221
"85",154171,116619,1752,77,92,802,544,1212,347,34,315,69,20,565,1173,49752,3790,4824,27902,4903,16744,1702
"86",192468,144771,2069,48,101,896,396,1389,221,39,324,95,19,687,498,62984,5136,6330,35569,6560,19131,2279
"87",182730,136636,2146,70,64,1067,473,1294,156,47,335,72,30,416,525,49843,5134,6373,43134,5774,17495,2188
"88",125197,86012,1526,58,62,605,364,1046,224,27,298,64,18,258,771,31435,3466,3925,26239,4226,10099,1301
"89",127437,84679,1340,70,42,910,231,981,98,29,196,47,26,514,578,33093,3304,4202,15552,4799,16908,1759
