deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread
Писклинець Ігор Дмитрович,87,0,0.1245822537717,батьківщина,NA,42,M,-0.0323964208043683
Іванчук Андрій Володимирович,88,1,0.470453942029441,народний фронт,політичної партії народний фронт,46,M,0.22428815173052
Тимошенко Юрій Володимирович,88,0,0.246165790298921,опозиційний блок,"Член депутатської фракції Політичної партії ""Опозиційний блок""",58,M,0
Шевченко Андрій Леонідович,88,0,0.185029535112789,слуга народу,NA,28,M,-0.0611362551861325
Соловей Юрій Ігорович,89,1,0.388028869504471,удар,БПП,41,M,0.0346753068543537
Книшук Петро Васильович,89,0,0.353353562650117,батьківщина,NA,59,M,0
Тимофійчук Володимир Ярославович,89,0,0.115913220301202,слуга народу,NA,33,M,-0.237440342348915
Мепарішвілі Хвича Нодарович,90,1,0.729018613159785,європейська солідарність,політичної партії народний фронт,47,M,0.492792382379155
Нестерчук Юрій Вікторович,90,0,0.23622623078063,слуга народу,NA,55,M,0
Браславський Руслан Георгійович,90,0,0.0141351423737285,батьківщина,NA,46,M,-0.222091088406902
Сольвар Руслан Миколайович,91,1,0.634431929370047,БПП,БПП,48,M,0.316274196093825
Дунда Олег Андрійович,91,0,0.318157733276223,слуга народу,NA,39,M,0
Кріпак Андрій Петрович,91,0,0.0177610141871974,unaffiliated,NA,37,M,-0.300396719089025
Гудзенко Віталій Іванович,92,1,0.740816714113831,БПП,БПП,48,M,0.532611651624486
Колюх Валерій Вікторович,92,0,0.208205062489345,слуга народу,NA,46,M,0
Ференець Олександр Борисович,92,0,0.0318154053814936,unaffiliated,NA,41,M,-0.176389657107851
Мамчур Юлій Валерійович,93,1,0.407757718611533,БПП,БПП,48,M,0.00723913823773709
Кривошея Геннадій Григорович,93,0,0.400518580373796,народний фронт,політичної партії народний фронт,42,M,0
Скороход Анна Костянтинівна,93,0,0.122240575906938,слуга народу,NA,29,F,-0.278278004466858
Романюк Віктор Миколайович,94,1,0.280142074528356,народний фронт,політичної партії народний фронт,44,M,0.000246219064386155
Кононенко Ігор Віталійович,94,0,0.27989585546397,народний фронт,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",54,M,0
Мосійчук Ігор Володимирович,94,0,0.26394311173144,радикальна партія,радикальної партії олега ляшка,47,M,-0.0159527437325307
Гаврилюк Михайло Віталійович,95,1,0.406830255507887,народний фронт,політичної партії народний фронт,40,M,0.0789752755257913
Немировський Андрій Валентинович,95,0,0.327854979982095,БПП,БПП,36,M,0
Горобець Олександр Сергійович,95,0,0.245009859472086,слуга народу,NA,41,M,-0.082845120510009
Москаленко Ярослав Миколайович,96,1,0.58138066219024,воля народу,воля народу,44,M,0.195916052500327
ВасилевськаСмаглюк Ольга Михайлівна,96,0,0.385464609689913,слуга народу,NA,34,F,0
Войналович Людмила Миколаївна,96,0,0.0133675702600213,європейська солідарність,NA,41,F,-0.372097039429892
Різаненко Павло Олександрович,97,1,0.596770650718436,голос,БПП,44,M,0.234041720291305
Галушко Микола Леонідович,97,0,0.362728930427132,слуга народу,NA,40,M,0
Іваненко Олег Валерійович,97,0,0.0223625629069178,європейська солідарність,NA,41,M,-0.340366367520214
Міщенко Сергій Григорович,98,1,0.685064675770824,народний фронт,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",48,M,0.392535215495639
Бунін Сергій Валерійович,98,0,0.292529460275185,слуга народу,NA,48,M,0
Гром Олег Віталійович,98,0,0.00895085589006806,unaffiliated,NA,48,M,-0.283578604385117
Дануца Олександр Анатолійович,99,1,0.347770764258634,слуга народу,NA,39,M,0.0249307916546984
Горбунов Олександр Володимирович,99,0,0.322839972603936,народний фронт,політичної партії народний фронт,50,M,0
Яриніч Костянтин Володимирович,99,0,0.297534147349186,БПП,БПП,49,M,-0.0253058252547502
Мурдій Ігор Юрійович,100,1,0.492841848991953,слуга народу,NA,37,M,0.0253255849062843
Березкін Станіслав Семенович,100,0,0.467516264085669,відродження,відродження,60,M,0
