deputat,tvo,winner,likelihood,proposed,fraction,age,gender,spread,proposed_full
Затишняк Олександр Володимирович,200,NA,0.0334964432881458,самовисування,NA,33,M,-0.0589274154842631,самовисування
Продан Оксана Петрівна,201,NA,0.375228371805601,самовисування,партії блок петра порошенка,45,F,0.0609157424174931,самовисування
Федорук Микола Трохимович,201,NA,0.314312629388107,самовисування,політичної партії народний фронт,65,M,0,самовисування
Лис Олена Георгіївна,201,NA,0.270220845333035,СН,NA,48,F,-0.0440917840550729,політична партія слуга народу
Рибак Іван Петрович,202,NA,0.599862435879765,самовисування,партії блок петра порошенка,41,M,0.32866579885944,самовисування
Заремський Максим Валентинович,202,NA,0.271196637020325,СН,NA,28,M,0,політична партія слуга народу
Тодеренчук Василь Мірчович,202,NA,0.0670296376042855,самовисування,NA,47,M,-0.204166999416039,самовисування
Тіміш Григорій Іванович,203,NA,0.49612572219301,самовисування,партії блок петра порошенка,49,M,0.163674031882063,самовисування
Мазурашу Георгій Георгійович,203,NA,0.332451690310947,СН,NA,48,M,0,політична партія слуга народу
Панчук Петро Володимирович,203,NA,0.0697420248399671,самовисування,NA,48,M,-0.26270966547098,самовисування
Бурбак Максим Юрійович,204,NA,0.547348829079019,самовисування,політичної партії народний фронт,43,M,0.201778378922993,самовисування
Божик Валерій Іванович,204,NA,0.345570450156027,СН,NA,48,M,0,політична партія слуга народу
Бойко Андрій Юліанович,204,NA,0.067096925930208,самовисування,NA,47,M,-0.278473524225819,самовисування
Куліч Валерій Петрович,205,NA,0.617936096016233,самовисування,"Член депутатської групи ""Воля народу""",46,M,0.381646976462897,самовисування
Семінський Олег Валерійович,205,NA,0.236289119553337,СН,NA,46,M,0,політична партія слуга народу
Ткаченко Володимир Володимирович,205,NA,0.104033845816671,самовисування,"Член депутатської групи ""Воля народу""",55,M,-0.132255273736666,самовисування
Микитась Максим Вікторович,206,NA,0.634951843197792,самовисування,воля народу,39,M,0.334131261070974,самовисування
Поляков Антон Едуардович,206,NA,0.300820582126818,СН,NA,32,M,0,політична партія слуга народу
Ткаченко Григорій Михайлович,206,NA,0.0260115512623295,Other,NA,52,M,-0.274809030864488,аграрна партія україни
Євлахов Анатолій Сергійович,207,NA,0.704837459993678,самовисування,партії блок петра порошенка,38,M,0.596604955690233,самовисування
Зуєв Максим Сергійович,207,NA,0.108232504303445,СН,NA,37,M,0,політична партія слуга народу
Ярова Алла Артурівна,207,NA,0.077312371927047,самовисування,NA,52,F,-0.0309201323763979,самовисування
Давиденко Валерій Миколайович,208,NA,0.812604827773435,самовисування,партії блок петра порошенка,46,M,0.705198159277603,самовисування
Панченко Антон Олександрович,208,NA,0.107406668495832,СН,NA,24,M,0,політична партія слуга народу
Гайдукевич Валерій Володимирович,208,NA,0.0327819068711968,самовисування,NA,49,M,-0.0746247616246349,самовисування
Кодола Олександр Михайлович,209,NA,0.817186201963515,самовисування,політичної партії народний фронт,37,M,0.745335580966374,самовисування
Зуб Валерій Олексійович,209,NA,0.0718506209971411,СН,NA,49,M,0,політична партія слуга народу
Зубицька Любов Миколаївна,209,NA,0.0441695937810805,самовисування,NA,36,F,-0.0276810272160606,самовисування
Дмитренко Олег Миколайович,210,NA,0.743263044778311,самовисування,партії блок петра порошенка,46,M,0.624086278926351,самовисування
Пахомов Дмитро Анатолійович,210,NA,0.11917676585196,СН,NA,33,M,0,політична партія слуга народу
Коровченко Сергій Володимирович,210,NA,0.0786706640954587,самовисування,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ""",40,M,-0.0405061017565014,самовисування
Юрченко Олександр Миколайович,211,NA,0.49753714345849,СН,NA,31,M,0.297903437678688,політична партія слуга народу
Козак Тарас Мирославович,211,NA,0.199633705779802,Голос,NA,49,M,0,політична партія голос
Прокопів Володимир Володимирович,211,NA,0.16546123826491899,ЄС,NA,36,M,-0.0341724675148825,політична партія європейська солідарність
